           Crs_1_5_3  |    Crs_volume_1_5_3  |             PbWO4 crystal 153  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 1 ych manual 5 zch manual 3 
    Crs_volume_2_5_3  |         main_volume  |PbWO4 crystal mother volume 253  |                                 -70*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 1 ych manual 5 zch manual 3 
           Crs_2_5_3  |    Crs_volume_2_5_3  |             PbWO4 crystal 253  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 2 ych manual 5 zch manual 3 
    Crs_volume_3_5_3  |         main_volume  |PbWO4 crystal mother volume 353  |                                 -50*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 2 ych manual 5 zch manual 3 
           Crs_3_5_3  |    Crs_volume_3_5_3  |             PbWO4 crystal 353  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 3 ych manual 5 zch manual 3 
    Crs_volume_4_5_3  |         main_volume  |PbWO4 crystal mother volume 453  |                                 -30*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 3 ych manual 5 zch manual 3 
           Crs_4_5_3  |    Crs_volume_4_5_3  |             PbWO4 crystal 453  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 4 ych manual 5 zch manual 3 
    Crs_volume_5_5_3  |         main_volume  |PbWO4 crystal mother volume 553  |                                 -10*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 4 ych manual 5 zch manual 3 
           Crs_5_5_3  |    Crs_volume_5_5_3  |             PbWO4 crystal 553  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 5 ych manual 5 zch manual 3 
    Crs_volume_6_5_3  |         main_volume  |PbWO4 crystal mother volume 653  |                                  10*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 5 ych manual 5 zch manual 3 
           Crs_6_5_3  |    Crs_volume_6_5_3  |             PbWO4 crystal 653  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 6 ych manual 5 zch manual 3 
    Crs_volume_7_5_3  |         main_volume  |PbWO4 crystal mother volume 753  |                                  30*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 6 ych manual 5 zch manual 3 
           Crs_7_5_3  |    Crs_volume_7_5_3  |             PbWO4 crystal 753  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 7 ych manual 5 zch manual 3 
    Crs_volume_8_5_3  |         main_volume  |PbWO4 crystal mother volume 853  |                                  50*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 7 ych manual 5 zch manual 3 
           Crs_8_5_3  |    Crs_volume_8_5_3  |             PbWO4 crystal 853  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 8 ych manual 5 zch manual 3 
    Crs_volume_9_5_3  |         main_volume  |PbWO4 crystal mother volume 953  |                                  70*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 8 ych manual 5 zch manual 3 
           Crs_9_5_3  |    Crs_volume_9_5_3  |             PbWO4 crystal 953  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 9 ych manual 5 zch manual 3 
   Crs_volume_10_5_3  |         main_volume  |PbWO4 crystal mother volume 1053  |                                  90*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 9 ych manual 5 zch manual 3 
          Crs_10_5_3  |   Crs_volume_10_5_3  |            PbWO4 crystal 1053  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 10 ych manual 5 zch manual 3 
    Crs_volume_1_1_4  |         main_volume  |PbWO4 crystal mother volume 114  |                              -90*mm -90*mm 185*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 10 ych manual 5 zch manual 3 
           Crs_1_1_4  |    Crs_volume_1_1_4  |             PbWO4 crystal 114  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 403 xch manual 1 ych manual 1 zch manual 4 
    Crs_volume_1_2_4  |         main_volume  |PbWO4 crystal mother volume 124  |                              -90*mm -70*mm 185*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 403 xch manual 1 ych manual 1 zch manual 4 
           Crs_1_2_4  |    Crs_volume_1_2_4  |             PbWO4 crystal 124  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 403 xch manual 1 ych manual 2 zch manual 4 
    Crs_volume_1_3_4  |         main_volume  |PbWO4 crystal mother volume 134  |                              -90*mm -50*mm 185*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 403 xch manual 1 ych manual 2 zch manual 4 
           Crs_1_3_4  |    Crs_volume_1_3_4  |             PbWO4 crystal 134  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 403 xch manual 1 ych manual 3 zch manual 4 
    Crs_volume_1_4_4  |         main_volume  |PbWO4 crystal mother volume 144  |                              -90*mm -30*mm 185*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 403 xch manual 1 ych manual 3 zch manual 4 
